N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
62,LG유플러스,"13,650",200,-1.44%,"5,000","59,597","436,611",37.83,"1,127,068",8.69,9.47,
63,맥쿼리인프라,"14,200",0,0.00%,0,"57,488","404,846",14.87,"899,152",N/A,N/A,
64,F&F,"146,500",500,+0.34%,100,"56,120","38,307",13.61,"110,714",15.59,N/A,
65,현대제철,"41,450",200,+0.48%,"5,000","55,313","133,446",20.70,"518,642",3.20,8.54,
66,KODEX 200,"35,055",385,-1.09%,0,"52,600","150,050",3.98,"4,323,952",N/A,N/A,
67,삼성중공업,"5,950",20,+0.34%,"1,000","52,360","880,000",14.69,"3,793,504",-4.41,-36.89,
68,코웨이,"70,000","1,500",-2.10%,500,"51,660","73,800",61.27,"150,659",10.88,27.41,
69,한국항공우주,"52,900",400,+0.76%,"5,000","51,564","97,475",19.70,"901,680",58.32,5.19,
70,에스디바이오센서,"48,900","1,100",-2.20%,500,"50,500","103,271",12.90,"181,306",4.46,72.47,
71,HD현대,"62,500",0,0.00%,"1,000","49,371","78,993",16.35,"203,136",92.32,-1.99,
72,금호석유,"160,000",0,0.00%,"5,000","48,473","30,296",19.93,"86,597",2.87,47.76,
73,미래에셋증권,"7,850",310,-3.80%,"5,000","48,302","615,316",13.92,"1,263,811",5.39,11.66,
74,삼성엔지니어링,"24,050",500,-2.04%,"5,000","47,138","196,000",40.31,"1,140,419",12.45,20.67,
75,현대건설,"41,950","1,350",-3.12%,"5,000","46,714","111,356",23.66,"589,663",11.26,5.89,
76,한국타이어앤테크놀로지,"37,400","1,750",+4.91%,500,"46,329","123,875",37.06,"1,051,487",8.82,7.69,
77,메리츠화재,"38,200",450,-1.16%,500,"46,079","120,625",11.95,"172,123",6.98,26.12,
78,DB손해보험,"65,000",0,0.00%,500,"46,020","70,800",43.58,"175,117",5.29,13.38,
79,유한양행,"59,600",800,-1.32%,"1,000","43,646","73,231",18.06,"116,846",45.29,5.45,
80,GS,"45,900",500,+1.10%,"5,000","42,648","92,915",20.81,"392,329",2.84,15.55,
81,메리츠금융지주,"31,850",850,-2.60%,500,"41,740","131,051",6.97,"201,434",5.41,22.33,
82,한국가스공사,"44,400",50,+0.11%,"5,000","40,987","92,313",10.63,"215,392",3.50,11.63,
83,일진머티리얼즈,"87,900","2,000",-2.22%,500,"40,531","46,111",10.78,"460,840",56.93,7.85,
84,메리츠증권,"6,120",30,+0.49%,"1,000","40,379","659,791",12.32,"1,626,155",5.24,15.77,
85,팬오션,"7,540",60,-0.79%,"1,000","40,307","534,570",15.35,"3,323,808",6.13,17.16,
86,쌍용C&E,"7,800",10,-0.13%,100,"39,301","503,860",3.16,"332,020",26.09,11.12,
87,한국금융지주,"70,500","1,100",-1.54%,"5,000","39,287","55,726",33.63,"125,965",2.46,27.12,
88,삼성카드,"33,850",200,-0.59%,"5,000","39,218","115,859",7.44,"86,479",7.12,7.53,
89,한미약품,"309,000",500,-0.16%,"2,500","38,063","12,318",13.17,"15,199",56.39,8.75,
